Name,Player Name,Team,Country,Age,Position,Picture Url,Appearances,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
INFANTRIE,TEGAR INFANTRIE SUKAMTO,PERSITA,INDONESIA,26,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1716086120.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIR OHORELLA,FAIRUZ ZAMAN OHORELLA,PERSITA,INDONESIA,23,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21207556.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. BENYAMIN,ANDREAN BENYAMIN RINDORINDO,PERSITA,INDONESIA,21,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21153348.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEKSA,ANDREJIC ALEKSA,PERSITA,SERBIA,32,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE24058185.png,4,0,0,0,0,0,1,0,0,5,0,0,1,4,0,0,0,1,0,3,5,3,1
KARTIKA AJIE,KURNIAWAN KARTIKA AJIE,PERSITA,INDONESIA,29,P. GAWANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE6863.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESAL SAHRUL,ESAL SAHRUL MUHROM,PERSITA,INDONESIA,23,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE2013562927.png,4,0,2,0,2,3,1,1,0,7,2,0,0,0,3,0,0,0,0,0,0,3,0
BUDI,ARIF BUDIYONO,PSBS BIAK,INDONESIA,32,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE2476.png,3,1,0,0,1,7,2,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0
HWANG,MYEONGHYEON HWANG,PSBS BIAK,KOREA REPUBLIC,24,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25076532.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NURHIDAYAT H,NURHIDAYAT HH,PSBS BIAK,INDONESIA,26,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1618125610.png,5,0,4,2,1,11,0,0,0,5,10,9,0,7,15,0,122,0,0,0,0,6,2
SANDRO. S,SANDRO SENE ANIBAL EMBALO,PSBS BIAK,PORTUGAL,29,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE24051190.png,4,0,5,1,1,8,0,0,0,0,4,9,0,6,8,0,135,0,0,0,0,6,0
RUYERY,RUYERY ALFONSO BLANCO YUS,PSBS BIAK,COLOMBIA,27,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25150857.png,3,0,2,0,0,0,2,1,0,8,8,3,1,3,0,0,0,0,0,1,3,3,2
A. OKTAVIANSYAH,ANDRE OKTAVIANSYAH,PSBS BIAK,INDONESIA,23,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE2113678589.png,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0
N. HASSAN,MOHCINE HASSAN NADER,PSBS BIAK,PORTUGAL,31,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23158218.png,3,1,2,0,0,3,4,1,1,6,3,0,0,6,0,0,50,0,0,3,2,0,1
LUQUINHAS,CLAUDIO LUCAS MORAIS FERREIRA DOS SANTOS,PSBS BIAK,BRAZIL,28,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25094517.png,5,0,4,0,0,1,5,2,8,7,3,6,3,2,7,0,103,2,0,1,7,10,1
ALFAN TRI,ALFAN TRI SAKTI WARDYANSYAH,PSBS BIAK,INDONESIA,20,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25071471.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LASOL,URBANUS KEVIN LASOL,PSBS BIAK,INDONESIA,21,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21194180.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M RUMBEWAS,IANS MORDEKHAI RUMBEWAS,PSBS BIAK,INDONESIA,18,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25049071.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARJUNA,ARJUNA AGUNG,PSBS BIAK,INDONESIA,22,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22273761.png,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
